id,nome,cpf,cargo,status,telefone,naturalidade,data_nascimento,email,sexo,identidade_genero,raca_cor,deficiencia,aprovado_cotas,data_posse,orgao_lotacao,situacao_profissional,data_inicio_situacao,data_saida_situacao,promocao,data_promocao
1,João Silva,12345678901,Juiz(a) Titular,Ativa,62999990001,Goiania,1980-01-01,joao.silva@tjgo.gov.br,Masculino,Homem,Branca,Não,Sim,2010-05-15,GOIANIA - 1ª Unidade de Processamento Jurisdicional (UPJ) dos Juizados Especiais Cíveis,Em exercício,2010-05-15,,nao_possui,2015-05-15
2,Maria Oliveira,23456789012,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Ativa,62988880002,Anapolis,1985-03-22,maria.oliveira@tjgo.gov.br,Feminino,Mulher,Negra,Não,Sim,2012-08-01,ANAPOLIS - 1ª Vara Criminal,Em exercício,2012-08-01,,nao_possui,2018-08-01
3,Carlos Pereira,34567890123,Desembargador(a),Ativa,62977770003,Goianesia,1983-07-15,carlos.pereira@tjgo.gov.br,Masculino,Homem,Branca,Sim,Não,2014-03-10,GOIANÉSIA - 1ª Vara Criminal,Em exercício,2014-03-10,,nao_possui,2017-03-10
4,Ana Costa,45678901234,Juiz Auxiliar que atua no 1º grau,Ativa,62966660004,Formosa,1982-12-20,ana.costa@tjgo.gov.br,Feminino,Mulher,Indígena,Sim,Sim,2013-06-25,FORMOSA - 1ª Vara Criminal,Em exercício,2013-06-25,,nao_possui,2016-06-25
5,Ricardo Souza,56789012345,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Ativa,62955550005,Goiania,1979-11-12,ricardo.souza@tjgo.gov.br,Masculino,Homem,Branca,Não,Sim,2011-02-28,GOIANIA - 3ª Unidade de Processamento Jurisdicional (UPJ) das Varas Cíveis,Em exercício,2011-02-28,,nao_possui,2017-02-28
6,Maria Souza,12345678901,maria.souza@email.com,Juiz(a) Titular,Ativo,(62) 99999-1234,Feminino,GO,Branco,Cisgênero,Não,visual|auditiva,1985-05-10,2010-03-25,Tribunal de Justiça de Goiás,presidente_tribunal,2020-01-01,,nao_possui,
7,José Santos,98765432100,jose.santos@email.com,Desembargador(a),Ativo,(62) 98888-4321,Masculino,DF,Negro(a) - Pardo(a),Cisgênero,Cota étnico-racial,fisica,1970-09-15,2005-02-01,Tribunal de Justiça de Goiás,corregedor,2018-06-10,,desembargador_antiguidade,2015-05-10
8,Ana Oliveira,55544433322,ana.oliveira@email.com,Juiz(a) Substituto(a),Inativo,(62) 99777-5678,Feminino,SP,Amarelo,Transgênero,Cota para pessoa com deficiência,intelectual,1990-12-20,2015-06-15,Tribunal de Justiça de Goiás,juiz_convocado_substituicao,2017-03-10,2022-12-31,juiz_titular_antiguidade,2020-11-01
9,Carlos Pereira,12312312312,carlos.pereira@email.com,Ministro(a) ou Conselheiro(a),Ativo,(62) 95555-4321,Masculino,MG,Negro(a) - Preto(a),Cisgênero,Cota para Gênero,nao_possui,1980-01-01,2012-09-20,STF,ouvidor,2019-01-15,,desembargador_merecimento_mista,2018-04-25
10,Luana Costa,32132132132,luana.costa@email.com,Magistrado(a) que atua no 1º grau eleitoral,Ativo,(62) 94444-8765,Feminino,BA,Índigena,Transgênero,Cota para Indígenas,auditiva,1987-03-22,2014-07-10,Tribunal Regional Eleitoral da Bahia,juiz_auxiliar_instrutor,2016-02-01,,juiz_titular_merecimento,2021-02-15
11,Maria Souza,12345678901,maria.souza@email.com,Juiz(a) Titular,Ativo,(62) 99999-1234,Feminino,GO,Branco,Cisgênero,Não,visual,1985-05-10,2010-03-25,Tribunal de Justiça de Goiás,juiz_auxiliar_instrutor,2015-01-01,2018-12-31,nao_possui,
12,Maria Souza,12345678901,maria.souza@email.com,Juiz(a) Titular,Ativo,(62) 99999-1234,Feminino,GO,Branco,Cisgênero,Não,visual,1985-05-10,2010-03-25,Tribunal de Justiça de Goiás,juiz_convocado_substituicao,2019-01-01,2021-06-30,nao_possui,
13,Maria Souza,12345678901,maria.souza@email.com,Desembargador(a),Ativo,(62) 99999-1234,Feminino,GO,Branco,Cisgênero,Não,visual,1985-05-10,2010-03-25,Tribunal de Justiça de Goiás,presidente_tribunal,2022-01-01,,desembargador_antiguidade,2021-12-15
14,José Santos,98765432100,jose.santos@email.com,Juiz(a) Substituto(a),Ativo,(62) 98888-4321,Masculino,DF,Negro(a) - Pardo(a),Cisgênero,Cota étnico-racial,fisica,1970-09-15,2005-02-01,Tribunal de Justiça de Goiás,juiz_auxiliar_instrutor,2010-01-01,2014-12-31,nao_possui,
15,José Santos,98765432100,jose.santos@email.com,Juiz(a) Titular,Ativo,(62) 98888-4321,Masculino,DF,Negro(a) - Pardo(a),Cisgênero,Cota étnico-racial,fisica,1970-09-15,2005-02-01,Tribunal de Justiça de Goiás,ocupante_cargo_jurisdicao,2015-01-01,2019-12-31,juiz_titular_antiguidade,2015-06-01
16,José Santos,98765432100,jose.santos@email.com,Desembargador(a),Ativo,(62) 98888-4321,Masculino,DF,Negro(a) - Pardo(a),Cisgênero,Cota étnico-racial,fisica,1970-09-15,2005-02-01,Tribunal de Justiça de Goiás,corregedor,2020-01-01,,desembargador_antiguidade,2019-12-20
