nome,cpf,email,cargo,status,telefone,sexo,naturalidade,raca_cor,identidade_genero,aprovado_cotas,deficiencia,data_nascimento,data_posse,orgao_lotacao,situacao_profissional,data_inicio_situacao,data_saida_situacao
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Exoneração/Vacância,23/07/2005,08-11-17
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Cargo de chefia,23/07/2005,
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Outros cargos em comissão,23/07/2005,
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Não exerce cargo em comissão,23/07/2005,
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Afastado(a),23/07/2005,
Ana Clara Oliveira,83649172500,giovanna79@mendes.com,Servidor(a) cedido(a) ou requisitado(a) de outro tribunal,Ativo,5154210525,Feminino,SE,Índigena,Cisgênero,Cota para outras ações afirmativas,auditiva,02-10-72,03-11-23,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Aposentado(a),23/07/2005,25/11/2001
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Cargo de chefia,30/11/2013,26/07/2013
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Cargo de chefia,30/11/2013,
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Outros cargos em comissão,30/11/2013,
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Não exerce cargo em comissão,30/11/2013,
