nome,cpf,cargo,status,telefone,naturalidade,data_nascimento,email,sexo,identidade_genero,raca_cor,deficiencia,aprovado_cotas,data_posse,orgao_lotacao,situacao_profissional,data_inicio_situacao,data_saida_situacao,promocao,data_promocao
Maria Eduarda da Conceição,15297043670,Ministro(a) ou Conselheiro(a),Ativo,+55 51 0216 0502,RO,06-15-60,jsilveira@uol.com.br,Intersex,Transgênero,Índigena,nao_possui,Cota étnico-racial,06-12-15,10ª Câmara Cível,magistrado_convocado_outro_tribunal,03-20-25,03-28-25,juiz_titular_antiguidade,04-03-18
Caio Martins,75083941600,Magistrado(a) que atua como substituto no 2º grau eleitoral ou no TSE,Ativo,+55 84 1569 1552,RN,07-31-81,castrodanilo@hotmail.com,Feminino,Transexual,Negro(a) - Pardo(a),fisica,Cota para Gênero,06-16-15,11ª Câmara Cível,saida_remocao_externa,04-24-23,10-02-23,desembargador_quinto_oab,03-10-19
Sr. Vitor Viana,67304591820,Juiz Auxiliar que atua no 1º grau,Ativo,+55 61 6449 3681,RJ,10-10-82,luiz-henrique53@yahoo.com.br,Não declarado,Transgênero,Amarelo,auditiva,Cota para outras ações afirmativas,06-13-06,1ª Seção Criminal,afastado_decisao_administrativa,09-27-24,,juiz_titular_merecimento,10-12-17
Isabel Azevedo,37986502410,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Ativo,31 0565 2663,GO,11-05-70,xalmeida@gmail.com,Não declarado,Travesti,Negro(a) - Preto(a),intelectual,Cota para outras ações afirmativas,06-07-10,1Câmara Cível,diretor_foro,08-26-22,,desembargador_quinto_oab,10-05-21
Enrico da Cruz,83410726969,Juiz(a) substituto(a) de 2º grau,Ativo,+55 (031) 2888-3872,RJ,06-09-69,lucas-gabriel81@uol.com.br,Intersex,Agênero,Negro(a) - Preto(a),"visual,auditiva",Cota para Indígenas,01-02-09,1Câmara Criminal,corregedor,05-06-24,,juiz_titular_merecimento,02-20-21
Thales Ribeiro,49560138766,Juiz(a) da classe advogado que atua como substituto no TRE ou no TSE,Ativo,(084) 8640-1991,RN,09-04-85,agathamonteiro@ramos.net,Não declarado,Transgênero,Amarelo,visual,Não,12-22-18,1Seção Cível,corregedor,04-22-24,,desembargador_quinto_mp,12-19-20
Dr. André Barros,78514392646,Desembargador(a),Inativo,+55 21 5068-7340,TO,09-11-72,kda-rocha@yahoo.com.br,Intersex,Gênero fluido,Branco,visual,Cota para pessoa com deficiência,06-14-11,2ª Seção Criminal,saida_remocao_externa,04-27-23,06-10-24,juiz_titular_merecimento,08-15-20
Maria Moura,16237985409,Juiz(a) Substituto(a),Inativo,+55 (051) 4325 3180,AL,01-30-61,isadora52@moreira.br,Não declarado,Outra,Amarelo,psicossocial,Cota para Gênero,02-06-15,2Câmara Cível,corregedor,02-18-24,02-12-25,desembargadora_merecimento_mulher,06-27-20
Enzo Duarte,71853240923,Magistrado(a) que atua como substituto no 2º grau eleitoral ou no TSE,Ativo,(084) 2113 6741,RO,01-26-85,igor13@ig.com.br,Não declarado,Outra,Branco,mental,Cota para outras ações afirmativas,01-11-09,2Câmara Criminal,exonerado,11-07-23,07-28-24,juiz_titular_merecimento,06-20-10
João Gabriel Fogaça,63421985782,Juiz(a) Substituto(a),Ativo,21 6663-0715,RJ,04-02-69,duartejulia@yahoo.com.br,Intersex,Agênero,Índigena,mental,Cota para Indígenas,12-31-20,2Seção Cível,juiz_auxiliar_instrutor,03-12-23,,juiz_titular_antiguidade,07-25-23
Lorenzo Nascimento,74305128608,Magistrado(a) que atua no 1º grau eleitoral,Inativo,61 4386-9195,MT,08-02-67,martinsalexandre@aragao.com,Intersex,Transexual,Índigena,auditiva,Não,08-08-21,10ª Câmara Cível,saida_remocao_externa,07-12-24,,juiz_titular_antiguidade,01-29-24
Marcos Vinicius Aragão,25048136780,Ministro(a) ou Conselheiro(a),Ativo,+55 (021) 9600 2189,BA,12-29-77,pfarias@moreira.org,Masculino,Travesti,Negro(a) - Pardo(a),visual,Cota para outras ações afirmativas,05-21-23,11ª Câmara Cível,demitido,03-30-23,06-19-23,desembargadora_merecimento_mulher,03-04-24
Dr. Yago da Paz,24890617558,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Inativo,+55 11 6207 8844,DF,07-05-63,pbarbosa@cardoso.com,Feminino,Transexual,Amarelo,"visual,auditiva",Não,01-06-22,1ª Seção Criminal,magistrado_convocado_outro_tribunal,04-19-23,,desembargador_merecimento_mista,05-07-23
Sra. Ana Clara Cunha,95826703474,Juiz(a) Substituto(a),Ativo,+55 (031) 0674-9282,GO,06-24-81,ana-livia91@campos.br,Feminino,Transexual,Amarelo,"visual,auditiva",Não,08-09-16,1Câmara Cível,ocupante_acumulacao_jurisdicao,08-03-24,03-10-25,nao_possui,
Alexandre Cardoso,40318259788,Juiz(a) Substituto(a),Ativo,21 9799-5798,SE,10-20-84,breno68@uol.com.br,Intersex,Transgênero,Amarelo,outras,Não,12-14-14,1Câmara Criminal,saida_remocao_externa,04-03-24,,desembargador_antiguidade,08-10-18
Lucas Gabriel Souza,73420851979,Juiz(a) substituto(a) de 2º grau,Inativo,+55 81 0392-5689,AM,08-15-83,luna13@hotmail.com,Não declarado,Outra,Negro(a) - Pardo(a),"visual,auditiva",Cota étnico-racial,10-19-10,1Seção Cível,saida_remocao_externa,04-01-22,01-30-25,nao_possui,
Sra. Carolina da Cunha,84931502660,Juiz Auxiliar que atua no 1º grau,Ativo,+55 (081) 1437 1588,MA,12-01-93,gcunha@bol.com.br,Intersex,Outra,Branco,outras,Cota para Gênero,07-08-08,2ª Seção Criminal,aposentado,01-09-24,,juiz_titular_antiguidade,10-28-11
Luiz Otávio Moura,80561249342,Juiz(a) substituto(a) de 2º grau,Inativo,71 5088-7882,RO,09-03-72,joao-gabriel92@hotmail.com,Masculino,Cisgênero,Amarelo,fisica,Cota para Gênero,07-08-16,2Câmara Cível,ouvidor,08-03-22,08-19-23,juiz_titular_merecimento,02-15-17
João Felipe Mendes,20514987332,Juiz Auxiliar que atua no 1º grau,Ativo,81 6152-6856,DF,10-19-77,alicia34@ig.com.br,Intersex,Agênero,Amarelo,intelectual,Não,07-10-19,2Câmara Criminal,corregedor,08-23-24,01-06-25,desembargador_antiguidade,09-05-23
Olivia da Luz,28175439041,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Inativo,+55 31 7526-7725,MS,07-07-83,gabrielly91@cunha.org,Feminino,Outra,Índigena,auditiva,Cota para Gênero,01-05-06,2Seção Cível,ocupante_acumulacao_jurisdicao,03-13-23,03-23-24,desembargadora_merecimento_mulher,04-16-22
Emanuelly Jesus,15067398493,Juiz(a) Substituto(a),Inativo,+55 71 4609 1100,GO,01-10-95,marianogueira@uol.com.br,Masculino,Agênero,Branco,"visual,auditiva",Não,04-29-08,10ª Câmara Cível,juiz_auxiliar_instrutor,01-14-24,02-02-24,desembargador_merecimento_mista,11-17-12
Pietro Novaes,38726540983,Juiz(a) Substituto(a),Inativo,+55 81 5978-8217,TO,07-07-64,benicio27@gmail.com,Não declarado,Gênero fluido,Amarelo,fisica,Não,09-11-17,11ª Câmara Cível,diretor_escola_magistratura,04-19-24,01-19-25,desembargador_quinto_oab,05-05-23
Marcela Viana,96347258056,Juiz(a) Titular,Ativo,+55 81 1492 6470,MG,03-28-95,maria-clara86@ig.com.br,Feminino,Travesti,Negro(a) - Preto(a),mental,Cota para Indígenas,04-16-15,1ª Seção Criminal,corregedor,07-06-23,11-12-23,desembargador_antiguidade,11-02-20
Dr. Pedro Lucas Oliveira,98302465747,Ministro(a) ou Conselheiro(a),Ativo,71 3194 8651,SP,11-02-85,ribeiroyago@martins.com,Feminino,Transgênero,Amarelo,outras,Cota para outras ações afirmativas,08-30-15,1Câmara Cível,aposentado,12-05-23,07-30-24,desembargador_quinto_mp,03-02-21
Sofia Pires,74186539057,Magistrado(a) que atua como titular no 2º grau eleitoral ou no TSE,Ativo,+55 84 9119 0933,MS,09-29-81,costathomas@hotmail.com,Não declarado,Transgênero,Amarelo,psicossocial,Cota para pessoa com deficiência,07-27-19,1Câmara Criminal,corregedor,07-18-23,,desembargador_antiguidade,06-09-22
Vitor Cavalcanti,10378496557,Desembargador(a),Ativo,51 5953 4237,MT,03-04-69,bfernandes@da.br,Não declarado,Transexual,Negro(a) - Preto(a),nao_possui,Cota para Indígenas,07-16-17,1Seção Cível,ingresso_remocao_externa,02-22-25,03-09-25,desembargador_merecimento_mista,07-22-19
Vitor da Paz,60957842392,Desembargador(a),Ativo,+55 (021) 5124 7521,MT,09-18-88,moreirafrancisco@moura.com,Não declarado,Outra,Branco,psicossocial,Cota para Indígenas,02-18-17,2ª Seção Criminal,saida_remocao_externa,03-02-23,,nao_possui,
Marcelo Silva,41259308642,Juiz(a) substituto(a) de 2º grau,Ativo,+55 (071) 5852-7919,PA,02-04-92,melolucca@yahoo.com.br,Feminino,Agênero,Branco,visual,Cota para Gênero,07-21-14,2Câmara Cível,ocupante_cargo_jurisdicao,12-18-23,08-05-24,desembargador_merecimento_mista,07-28-24
Yago Carvalho,34527069829,Juiz(a) Substituto(a),Ativo,+55 (084) 6065 3222,RJ,04-25-76,erick04@hotmail.com,Masculino,Transgênero,Negro(a) - Preto(a),visual,Cota para Gênero,05-23-19,2Câmara Criminal,ocupante_acumulacao_jurisdicao,05-05-23,07-14-24,desembargador_quinto_mp,08-22-24
Henrique Cardoso,36745892065,Desembargador(a),Ativo,+55 61 7074-7913,RO,09-24-92,bianca18@gmail.com,Intersex,Travesti,Negro(a) - Pardo(a),intelectual,Cota para pessoa com deficiência,10-25-08,2Seção Cível,magistrado_convocado_outro_tribunal,09-25-22,07-22-24,desembargador_merecimento_mista,11-19-17
Ana Vitória Melo,91864052333,Magistrado(a) que atua como substituto no 2º grau eleitoral ou no TSE,Ativo,71 6638 1134,RS,01-28-87,pietra02@ribeiro.com,Feminino,Agênero,Branco,"visual,auditiva",Cota para Indígenas,09-24-07,GABINETE DES. AURELIANO ALBUQUERQUE AMORIM,juiz_convocado_substituicao,05-18-24,07-27-24,desembargador_quinto_oab,10-17-23
Nathan Lopes,26983405765,Juiz(a) substituto(a) de 2º grau,Inativo,(071) 5719-8546,PR,06-10-59,danielanovaes@aragao.com,Intersex,Travesti,Amarelo,fisica,Cota para Gênero,10-04-12,GABINETE DES. BRENO BOSS CACHAPUZ CAIADO,ocupante_cargo_jurisdicao,04-25-22,,juiz_titular_merecimento,07-28-15
Beatriz Viana,47026538900,Magistrado(a) que atua como titular no 2º grau eleitoral ou no TSE,Inativo,(041) 0164-1071,PR,10-09-94,kaiqueduarte@jesus.net,Não declarado,Transexual,Negro(a) - Preto(a),fisica,Cota étnico-racial,12-02-23,GABINETE DES. CARLOS ALBERTO FRANCA,ocupante_acumulacao_jurisdicao,12-02-23,,juiz_titular_antiguidade,10-12-24
